Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom
5.697,0.96,1.274,0.854,0.455
5.693,1.221,1.431,0.999,0.508
5.653,0.677,0.886,0.535,0.313
5.648,1.183,1.452,0.726,0.334
5.631,0.807,1.293,0.657,0.558
5.603,1.004,1.383,0.854,0.282
5.529,0.685,1.328,0.739,0.245
5.525,1.044,1.303,0.673,0.416
5.523,1.051,1.361,0.871,0.197
5.467,0.493,1.098,0.718,0.389
5.432,1.155,1.266,0.914,0.296
5.43,1.438,1.277,1.122,0.44
5.425,1.015,1.401,0.779,0.497
5.386,0.945,1.212,0.845,0.212
5.373,1.183,1.36,0.808,0.195
5.339,1.221,1.171,0.828,0.508
5.323,1.067,1.465,0.789,0.235
5.287,1.181,1.156,0.999,0.067
5.285,0.948,1.531,0.667,0.317
5.274,0.983,1.294,0.838,0.345
5.265,0.696,1.111,0.245,0.426
5.261,0.551,1.438,0.723,0.508
5.247,1.052,1.538,0.657,0.394
5.211,1.002,1.16,0.785,0.086
5.208,0.801,0.782,0.782,0.418
5.208,1.043,1.147,0.769,0.351
5.197,0.987,1.224,0.815,0.216
5.192,0.931,1.203,0.66,0.491
5.191,1.029,1.125,0.893,0.521
5.175,0.741,1.346,0.851,0.543
5.082,0.813,1.321,0.604,0.457
5.044,0.549,0.91,0.331,0.381
5.011,1.092,1.513,0.815,0.311
4.996,0.611,0.868,0.486,0.381
4.944,0.569,0.808,0.232,0.352
4.913,0.446,1.226,0.677,0.439
4.906,0.837,1.225,0.815,0.383
4.883,0.393,0.437,0.397,0.349
4.812,0.673,0.799,0.508,0.372
4.799,1.057,1.183,0.571,0.295
4.796,0.764,1.03,0.551,0.547
4.722,0.96,1.351,0.469,0.389
4.719,0.947,0.848,0.874,0.383
4.707,0.96,1.427,0.805,0.154
4.7,0.574,1.122,0.637,0.609
4.696,0.657,1.247,0.672,0.225
4.681,0.45,1.134,0.571,0.292
4.668,0.0,0.698,0.268,0.559
4.639,0.879,1.313,0.477,0.401
4.628,0.138,0.774,0.366,0.318
4.587,0.331,1.056,0.38,0.255
4.559,0.85,1.055,0.815,0.283
4.548,1.1,0.842,0.785,0.305
4.534,0.38,0.829,0.375,0.332
4.519,0.886,0.666,0.752,0.346
4.516,0.308,0.939,0.428,0.382
4.509,0.512,0.983,0.581,0.431
4.49,0.57,1.167,0.489,0.066
4.466,0.204,0.986,0.39,0.494
4.461,0.921,1.0,0.815,0.167
4.456,0.562,0.928,0.723,0.527
4.437,1.043,0.98,0.574,0.241
4.418,0.094,1.125,0.357,0.269
4.39,0.385,1.105,0.308,0.327
4.374,0.268,0.841,0.242,0.309
4.366,0.949,1.265,0.831,0.47
4.36,0.71,1.181,0.555,0.525
4.35,0.35,0.766,0.192,0.174
4.332,0.82,1.39,0.739,0.178
4.286,0.336,1.033,0.532,0.344
4.212,0.811,1.149,0.0,0.313
4.189,0.332,1.069,0.443,0.356
4.166,0.913,1.039,0.644,0.241
4.107,0.578,1.058,0.426,0.431
4.085,0.275,0.572,0.41,0.293
4.015,0.755,0.765,0.588,0.498
3.975,0.073,0.922,0.443,0.37
3.973,0.274,0.757,0.505,0.142
3.933,0.274,0.916,0.555,0.148
3.802,0.489,1.169,0.168,0.359
3.775,0.046,0.447,0.38,0.22
3.663,0.366,1.114,0.433,0.361
3.597,0.323,0.688,0.449,0.026
3.488,1.041,1.145,0.538,0.455
3.462,0.619,0.378,0.44,0.013
3.41,0.191,0.56,0.495,0.443
3.38,0.287,1.163,0.463,0.143
3.334,0.359,0.711,0.614,0.555
3.231,0.476,0.885,0.499,0.417
3.203,0.35,0.517,0.361,0.0
3.083,0.026,0.0,0.105,0.225
2.853,0.306,0.575,0.295,0.01
