Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom
7.526,1.442,1.164,0.795,0.579
7.509,1.527,1.145,0.863,0.586
7.501,1.427,1.183,0.867,0.566
7.498,1.577,1.127,0.796,0.596
7.413,1.406,1.135,0.811,0.571
7.404,1.44,1.096,0.828,0.574
7.339,1.465,1.029,0.812,0.552
7.334,1.361,1.173,0.831,0.581
7.313,1.444,1.105,0.851,0.568
7.291,1.452,1.088,0.831,0.582
7.267,1.338,0.995,0.849,0.364
7.119,1.45,1.084,0.806,0.544
7.104,1.508,1.048,0.779,0.482
7.087,1.069,1.022,0.761,0.552
7.039,1.359,1.081,0.778,0.468
6.994,1.448,1.098,0.815,0.535
6.952,1.088,1.039,0.614,0.404
6.929,1.425,1.052,0.82,0.514
6.907,1.483,1.162,0.815,0.54
6.871,1.698,1.04,0.845,0.549
6.778,1.115,0.715,0.711,0.377
6.739,1.646,0.868,0.947,0.488
6.725,1.403,1.087,0.81,0.5
6.705,1.217,0.906,0.819,0.378
6.701,1.183,0.989,0.708,0.489
6.65,1.151,1.066,0.697,0.423
6.596,1.309,1.008,0.764,0.414
6.573,1.574,0.871,0.73,0.562
6.545,1.182,1.031,0.722,0.544
6.488,1.308,1.099,0.803,0.55
6.481,1.03,1.022,0.597,0.447
6.478,1.395,1.005,0.838,0.466
6.474,1.089,1.045,0.649,0.496
6.379,1.49,0.848,0.593,0.379
6.379,1.397,0.926,0.796,0.324
6.375,1.824,0.88,0.717,0.567
6.361,1.343,1.129,0.879,0.375
6.355,1.053,0.833,0.618,0.21
6.324,0.835,0.871,0.54,0.504
6.269,1.097,0.779,0.509,0.522
6.239,1.617,0.878,0.636,0.432
6.218,1.44,0.944,0.657,0.474
6.168,1.326,0.986,0.526,0.485
6.084,1.134,1.033,0.619,0.198
6.078,1.28,1.083,0.704,0.234
6.068,0.874,0.81,0.596,0.373
6.005,1.251,0.88,0.624,0.39
5.992,0.694,0.895,0.652,0.466
5.987,0.736,1.168,0.502,0.608
5.977,1.355,1.042,0.851,0.188
5.976,0.973,0.86,0.686,0.403
5.956,0.876,0.687,0.456,0.512
5.921,1.38,1.061,0.915,0.468
5.919,1.229,0.955,0.574,0.405
5.897,0.692,0.831,0.523,0.252
5.856,1.232,1.053,0.59,0.327
5.835,1.246,1.047,0.691,0.452
5.835,1.359,0.722,0.886,0.252
5.822,0.794,0.838,0.47,0.51
5.813,1.269,1.064,0.647,0.189
5.802,1.131,1.05,0.631,0.291
5.771,1.311,0.818,0.841,0.436
5.768,1.299,1.056,0.792,0.532
5.743,0.996,0.813,0.63,0.375
5.658,1.08,1.038,0.44,0.374
5.648,1.144,0.757,0.662,0.461
5.615,1.067,0.951,0.523,0.407
5.56,1.218,0.95,0.64,0.28
5.546,1.319,0.707,0.849,0.295
5.538,0.894,1.111,0.583,0.462
5.528,1.17,0.728,0.676,0.367
5.517,1.28,1.052,0.681,0.415
5.51,0.893,0.964,0.595,0.436
5.488,1.186,0.608,0.705,0.239
5.458,1.511,0.87,0.953,0.481
5.44,0.0,0.336,0.115,0.568
5.401,0.901,0.661,0.54,0.144
5.389,1.165,0.877,0.647,0.239
5.314,0.951,0.876,0.494,0.392
5.303,0.997,0.862,0.607,0.36
5.291,1.124,0.76,0.545,0.353
5.279,0.812,0.879,0.47,0.549
5.245,1.028,0.794,0.736,0.44
5.196,0.853,0.908,0.498,0.461
5.185,0.56,0.954,0.554,0.402
5.177,1.034,0.813,0.646,0.157
5.163,0.934,0.644,0.708,0.095
5.161,1.078,0.742,0.635,0.151
5.155,1.028,0.995,0.577,0.523
5.151,0.841,0.386,0.595,0.256
5.145,1.241,0.932,0.676,0.198
5.132,0.688,0.261,0.403,0.146
5.129,1.123,0.642,0.762,0.262
5.123,1.276,0.944,0.794,0.447
5.121,1.019,0.782,0.647,0.277
5.061,0.74,0.791,0.662,0.56
5.057,0.256,0.759,0.331,0.391
5.045,0.977,0.432,0.596,0.236
5.033,1.249,0.755,0.8,0.058
4.996,0.488,0.756,0.531,0.434
